genre,description
horror,horror trilogy antique shop pieces furniture stories past new owners get little piece horror says joey reyes kama aleli purchases antique bed realizing previous owner bed claim son aparador couple purchased antique cabinet young man died inside tokador independent woman gets possessed dresser take soul
horror,beautiful countess rudlov disappears late legend blames monster people blame lagoon nearly years later spirited illona rudlov struggling ballerina living new york velvet revolution occurs decides czechoslovakia reclaim ancestors castle falls handsome hunter jan paul hawkins haunted mysterious creature
thriller,fast paced dramatic thriller set remote farm kzn midlands family dreamed idyllic country existence find submerged dystopian nightmare keira annie robinson emma ella grealy return trip abroad home midlands world turned upside husband panos brendan grealy emma father gunther mark mulder friend panos keira helping set business deal staying rent free cottage farm olga fiona ramsay panos sister together two hatch plan drive keira farm film portrays struggle urgent heart wrenching one night hell act think fast survive keira surrounded slow rot hidden agendas seems turn
thriller,nightmare continues rudy even though herman locked away institution criminally insane mysterious copycat killer stalking taunting last words earth wants hear herman wants play
action,gang study paranoia power following unspecified job involving international gang crooks frankie londoner killed gang leader marquez death full view gang seems frankie forewarned manages fake death story starts bang continues breakneck speed frankie wreaking revenge gang tries find betrayed story lurches one corner europe another pulling frankie old london gang meanwhile marquez jumps false conclusion gang reacted frankie death hellbent teaching marquez lesson stage set showdown marquez fortress canaries paranoia ratcheted body count reaches shakespearian proportions
horror,dominic maria happy social married couple encounter turns dominic world upside reclusive living desolate wooded area strained relationship marred dominic dark secret one thirsting wife blood sed modern take vampire genre replacing often glamorized look gritty view monster struggles
thriller,horrifying crime committed tokyo girl body found frozen block ice inside steel drum lead police able find web site calling seven face seems know lot case soon information page changes new murder victim found matching new details police detective uchiyama finds several people seem none conclusively linked crimes committing murders next victim found
action,retreat british government hong kong team elite secret police force also way however team highly trained cops one final mission together fight lives
action,demi chains way successful normal life demi unknowingly possesses great power sought jade stone sorceress surrounded demi intense negative energy promising life ahead destroyed negative energy surrounds demi must struggle keep loves repelled energy also fighting life appears ever growing battle good versus evil order succeed must unlock true potential power never knew possessed
thriller,rookie private investigator kurt galloway fresh school looking work surprise arrives home old neighbor mackenzie already interested services mackenzie hires kurt find wife missing three weeks sordid chalice city positive first case affair kurt rushes chalice city solve town kurt soon finds case taking much darker deadlier turn brutal criminal murders start taking place around kurt people questioning dying kurt supposed affair rapidly turns supernatural nightmare way league
horror,japanese english subtitles losing parent tragic traffic accident koto develops ability communicate dead hospitalized extreme trauma koto escapes return place parents died meets shinji whose lover also died car accident koto embark illicit terrifying journey heightened lust death
thriller,woman hired write history wealthy family stays family estate oregon discovers strongly resembles long dead ancestor family finds things happening happened led death woman
thriller,lucy pierce grew believing normal childhood loving supportive mother discovers old articles baby victoria disappearance high profile abduction case occurred born shocked see baby front center determined find answers lucy tracks biological mother elizabeth marshall criminal prosecutor running governor pennsylvania overnight lucy goes anonymous something media sensation lucy reunion elizabeth heartfelt said relationship newfound sister terri spoiled rudderless used child terri resents lucy jealousy morphs sabotage terri realizes bring lucy level must bring lucy family reunion spirals control lucy finds middle police investigation forces elizabeth distance protect campaign lucy questions really trying defame something sinister happening tear family apart yet
thriller,four boys school pals decide camping hut forest heading start college tramp forest discover hut burned looking something else sleep meet deranged possum hunter bush offers shelter hut take offer stay hut night drink later night find severed hand hidden box back hut suspect hunter might possibly killed someone hiding form police four boys decide play cool raise alarms get morning morning comes boys try make hasty retreat hunter gets change attitude towards discovers one boy taken old bone accuses stealing rob try smooth situation gets smacked across face rifle hamish rescues rob hunter hunter declares going give length time two cigarettes coming hunt boys make break try get far away hunter possible hunter finishes second smoke hunt race boys get back car lives end dead forest boys try run fast one trips sprains ankle leaves others struggling keep pace carrying soon hunter catches skill local knowledge forest trying shot despite boy jump step cliff hide behind tree truck stream seeking cover behind tree trunk sight hunter devise plan get back car decide make break run hunter see top cliff takes aim realizing far jumps cliff try chase trips way dropping gun tumbles creek gives boys enough time make break get within sight car empty car park hamish decides brave walks car getting car thinking coast clear summons others make break discover next car possum hunter hiding behind tree close points gun tells line single file boys hunter prepares shoot boys make surprise attack wrestle hunter ground get gun amongst panic commotion one boys shots hunter chest heart hunter dies new dilemma deciding body bury bush say nothing police risk tried murder much debate decide bury hunter bush weighs heavy conscious walk away forest scarred forever secret never tell anybody
thriller,matt anna young couple living london anna starting career knows wants whilst matt still struggling find purpose life surface happy tensions beginning mount one morning masked thugs break flat kidnap anna assaulting matt locking mysterious vest leaving mobile phone matt told vest contains package must deliver following instructions issued via mobile phone fails tries seek help deviates instructions kill anna course one day matt make way across london desperate bid save girlfriend host characters attempt derail mission
horror,scars psychological thriller written directed canadian filmmaker sean robb stark disturbing story scar raven haired punk blood fingernails scarlett blond beauty penchant extortion discover enjoy killing men together killing dudes easy says scar two women embark violent ruthless killing spree pursued mysterious det mike story happens human beings allow consumed nihilism misanthropy scars exploration morality ethics post world tense terrifying film part character study part slasher flick
horror,echoing distinctive much celebrated great british gothic horror films house screaming death uphold successful traditions telling four macabre tales terror told mysterious architect horrific segment delves explicit corners supernatural summoning damned creations ghostly lady grey stories witchcraft foul vampirism occult horrifying tales unfold nightmarish conclusions architect also one last shocking secret tell dark stormy night collector macabre weaves four tales terror group special guests lady grey flames war spread veteran great war looks back history bray manor ghosts haunt hallways ancient house witch mirror lily proctor inherits old house spirit witch trapped netherworld spectral necromancers tries desperately escape back realm dark secret lily past revealed vampyre following string killings young gentleman comes bray manor painted outcast villagers befriends helpless stranger kind heart may undoing diabolique sam campbell finds center strange happenings ancient demonic spirit strives break world stories sting tail final revelations architect may biggest shock
horror,gritty paranormal horror team specially talented investigators looking history strangest darkest family known grulems family lived year said practiced dark black magic legend would grulems worshiped evil dark entity known glor grulems learnt offering innocent soul dark spirit would obtain ability return plain existence night every years act gruesome fantasy murder mayhem years later year reports area grulems used live people strangely killed sleep nights grulems said able return gather souls modern day group paranormal investigators found legend decide next project investigate legendary family seek place grulems used live years ago begin investigation nights legend says family return highly trained paranormal investigators psychic powerful priest must battle history violent unpredictable family known grulems
horror,bachelorette party getaway casey bride gets seemingly harmless bite unknown insect returning home cold feet casey tries call wedding able starts exhibiting insect like traits physical transformation wedding anxiety casey succumbs new instincts begins creating hive houses translucent eggs feeds flesh others transformation becomes complete casey discovers everything change single bite
horror,jason berks thought solved johnstown vampire problem good thirteen years jason sacrificed rid town demons abandoned mine buried bodies reopened four empty body bags spell bad news johnstown vampires led rigo kidnap jason mother terrorize town retaliation years suffering jason younger brother jimmy berks must awaken half man half vampire brother deal wrath bloodsuckers time help friends led hockey star crazed psychopath mack berks vampire killing posse load shotguns sharpen stakes wait sun finally send monsters back hell
thriller,paranoia classic whodunit ambitious detective ben james ray investigates murder wife best friend husband shane dean wife best friend alaina katherine stewart holds key mystery struggles reality imagination condition brought experimental drugs infertility treatment program horror scream queen tiffany shepis plays detective wife usa color minutes
action,four fearless intrepid girls get selected recording company undergo martial arts training china prepare pop group however forced disband one year later recording company goes girls courage stand odds fight really believe
thriller,san cristobal island located somewhere british west indies ruled sadistic beauty lady susan walker forces local men join black slaves sugar cane plantation either work die always dressed black never lets whip black snake latest husband gone missing making real black widow right hand man impotent racist violent joxer tierney command slaves makes sure hate even young slave joshua plans revolt religious father isaiah terrified might happen revolt fails sir charles walker brother susan late husband goes undercover ronald sopwith investigate really happened brother hires plantation accountant gives black sex slave named cleone eventually tries seduce sadistic gay assistant may charles brother fate
horror,drifter hitman hired local business man kidnap local oil baron hitman reared squalor suffering abuses whoring mama baron escapes assistant must chase hitman takes care loose ends
thriller,vein rosemary baby living follows couple recovering miscarriage start new house tell previous owners murdered hides trying get pregnant despite doctor warnings lives take horrifying turn struggle lies
thriller,single mother maria starts receive anonymous death threats together children flees former parental home older sister ans lives cold winter days secluded seaside house confronted traumatic childhood memories people close begin question state mind assailant closes
horror,handful friends stumble upon abandoned building come face face biological weapons experiment gone catastrophically wrong also confront maniacal scientist predicts life earth end hours accelerated bacterial mutation halted virulent flesh hungry contagion spreads person person rendering host pile infectious ooze begins multiply increase size covert military force sent contain spread destroy organism discovers extent slithering mutation far late conventional tactics extreme measures required anyone left standing one solid piece battle
thriller,david hayes dealing tragic loss moves wife lucy help family let past soon find pain past easily forgotten darkness rise anyone anywhere anything
horror,fates collide gritty supernatural horror film set wild west cimarron territory violence vice reign supreme may place woman bounty hunter ree cutter raised dust bullets youngest son notorious kilburn clan earns price head cutter hunts drag justice vicious predator descends isolated ranch leaving little hope escape unable trust anyone far spit cutter must find way work butcher order survive night
thriller,missing message rogue mathematician alan turing surfaces part celebrations birthday code provides key century old puzzle solved bestow academic immortality crash world chaos
horror,group college kids win trip new orleans mardi gras soon find rollercoaster survival bodies drop left right workers local voodoo tourist attraction begin turning dead teens must bind together stay alive figure behind wicked plot hey inconvenienced biggest party year
thriller,big russian city necessarily moscow kind bustling types life including criminal police without business young agent name nikolay whose ancestors mother side georgian walks department busy investigation murder committed mysterious blind killer intuition leads group people whose destiny broken chechen war peaceful town finds sinister inside nikolay noble impulses runs cruel corrupt reality
horror,cataclysmic event biblical proportions turns much earth human dna creatures ravenous living flesh post apocalyptic aftermath small band survivors fight crossing open country last safe planet
horror,murder suicide church burning first three years norwegian metal band mayhem changed rock roll participated satanic rituals imploded murder leader mayhem independent horror documentary black metal musical proves life art eerily similar
horror,said many times truth group teenagers various degrees psyshic awareness attempt talk dead spirits resolve conflicts past instead stumble something much interesting human beings monopoly love rather desire help need companionship ability sacrifice one happiness another traits shared beings realize truth still hope peaceful existence creatures universe
action,new york city detective back vacation investigate shooting partner convince work local drug dealers start harass lead turf war caught middle must turn criminals trained put away help
horror,audrey high school girl used getting wants new substitute teacher shows school wanting cant drives edge insanity breaks rules get way cant one
thriller,paul kathy plunk move away phoenix arizona baby daughter may grow healthy oregon buy small motel lonesome mountain region could idyllic first guests wanted criminals knott frost flight police need money assault plunks force withdraw money bank nightmare begins take plunks baby hostages life worth nothing psychopathic criminals
horror,powerful witch morgan heads festival bed breakfast nestled small town stevenson texas coven get bargain meet reverend montgomery man church side return morgan film sinner passive witch must call greatest powers save coven right wrongs town congregation
horror,five young american come vacation peruvian jungle discover old incan ritual party called ayahuasca trying enjoy find lost city gran pajaten caught predator protector jungle treasures
horror,doug amanda simmons move new york london doug promoted vice president european operations company amanda takes control house hunting domestic arrangements choosing set new home small country village outside london surrey amanda ancestral home mother side family doug finds midst strange events surrounding new home
action,master killed rogue fbi agent goes cover world violence motorcycles deceit discover truth behind samurai master death find answers questions also finds self middle power struggle head crime family
action,former federal agent must abandon witness protection program come hiding london home invaded error due wrong address event ends multiple homicides news triggers hunting send europe dangerous assassin kill run daughter life jeopardy determined father must get safety people hiding track
horror,legend says evil haunts river woman drowned children love undeserving man searches dark regions black recesses damned possessing doomed say wanders dark crying lost children say see run
action,swat tactical shooter video game lead elite squad police tactical experts tasked bring order series highly volatile scenarios involving hostages civilians suspects law enforcement officers rules engagement strict lethal force authorized unless suspect shoots first points firearm fellow officer civilian
thriller,sara thought finally found happiness escaped life poverty abuse marry jim bratchett sara happiness short lived discovers jim invalid daughter trapped full time caretaker sara considers leaving jim discovers million dollar life insurance policy
horror,molly together three art student friends embark upon mission find empty house london view living squatters free rent free party found ideal squat break merry business dressing stark interior reflect artistic selves darkness pervades new dwelling place darkness discover full implications intrepid choice nightmare unfolds traps viewer protagonists alike terrifying unforgiving new reality orchestrating bloody demise house appeared empty yet malevolent force clearly work
action,cowboy escaping drought northeast brazil meets officers led cruel lieutenant whose main objective catch organized outlaws invade small town juazeiro arrest torture hoping would tell whereabouts padre cero prominent religious leader place manages escape arrives juazeiro police invade city arrest believers celebrating party padre cero
horror,movie opens ancient chinese mother daughter seem spend happy moments mother pregnant movie moves present happy couple krish siddharth lakshmi andrea jeremiah make love bringing memories times met love blossomed suddenly notice new family move next house krish doctor uses electrodes inserted brain bring sensation numb fingers close another doctor prasad psychiatrist
thriller,father wilderness family gets bitten skunk fearing rabies chains barn protect family mad orders son come near matter persuasive rational appearance argument however creek dries indicating upstream blockage imminent flood several trips upstream son failed locate blockage dad wants released
thriller,tarun wife shrishti living happy life daughter one day save honor woman tarun accidentally kills two gangsters black past unfolds starts haunting present life tarun back roots get past make family secure happy
horror,bandit shaw scott gleine travels aboard central pacific railroad towards better life california befriends mysterious school teacher josephine tate stephanie lafferty long two discover seems board fright train
thriller,american teen sent prestigious london boarding school hopes overcoming delinquent past discovering school haunted vengeful former student must put ghost rest order save everyone lives
action,rammohan lives poor lifestyle india along grandson avinash child late son indermohan rammohan disappointed avinash always seems getting trouble fisticuffs quite unknown avinash makes living wrestling one day rammohan finds avinash got fight gangster named yeda topi complained police result avinash arrested held cell beaten police inspector inamdar rammohan arranges avinash bail warns get trouble instead coming home avinash disappears several days compelling rammohan file missing persons report rammohan get united grandson find avinash wanted police murder yeda topi also masquerading sunil verma romancing sunil mentally unstable girlfriend neha khurana watch impact revelations relationship
thriller,children ward luke hospital sam cooper waiting top transplant list new liver mother lisa cooper head cardiac surgery feels completely helpless unable save son despite saving patients lives every day liver finally becomes available destroyed route hospital alternative illegal organ becomes option turns back system devoted life secretly heads new day clinic unknown african country behind derelict walls facility sam taken used pawn force lisa performing heart transplant wealthy american patient clayton taylor lisa hippocratic oath mother love forced collide operating table knowing order harvest heart perform transplant need take life young innocent girl get sam back quickly realizes game lives simply valuable others
action,narang accomplished wealthy industrialist lives daughter neena palatial home daughter marriageable age would like marry associate bhisham son vicky neena love much poorer man named jaikishan alias jaggu neena informs father would like marry jaggu summons jaggu mom shanti instantly recognizes questionable past belittles humiliates asks leave house jaggu finds goes meet narang asks change decision gets insulted asked leave never see speak neena jaggu promises return within one year time even wealthy narang jaggu befriends homeless man named vishal together set forth meet jaggu deadline things going pretty well jaggu able get sizable loan bank started construction business success got enemies one day someone places bomb car jaggu survives critically wounded need blood blood group vishal vishal refuses give blood save jaggu shanti shocked appalled sets forth find son closest friend refuses help dire time need
horror,event jill killing spree murders start blood bath slaughter lori must uncover masked killer prescott family tree finished
action,legendary hitman vet jones never expected accept another mission son fails assassinate important target powerful crime boss gives jones ultimatum finish job son dies jones choice accept realizing target innocent jones tries change mission order protect target save life well life son
thriller,whole world cyber attack world famous hunter gujjar group teenage computer lover decided stand started movement cyber criminals one night hunter gujjar decides disconnect usa world happened hackers founded company named modpro hackers aka world changers never serious business got hold armegithrim sxw chip chip hunter used destroy total countries hunter gets know starts assassinate white hats year cyber war modpro hackers remain fight justice restoring peace world
thriller,director engineering company small town near london murdered perfect stranger inspector alan milton put charge case former fianc carol vyner victim secretary marry harry brent mysterious figure connection murder suspect
action,every spy beginning colonel aleksandr talanov kgb moment occurs one summery night costa del sol height cold war tensions americans soviets signatory biological weapons treaty united states already destroyed military stockpiles weaponized pathogens soviet union however responded differently signing treaty created network forty seven top secret production facilities spread across russia called biopreparat largest biological weapons program earth one alarmed growing number soviet scientists one scientists decided defect talanov assigned task bringing back tracking scientist family spain talanov betrayed scientist family murdered survivor teenage daughter noya short noyabr english november happens impulsive moment changes course talanov life placing desperate race save noya deadliest vicious adversary ever encounter people kgb
horror,marian longosi goes hiding escape abusive boyfriend takes job house sitting results acquiring canine odd habits roommate small town seems safe enough first maria soon learns black bear loose police find body slaughtered man top jeff everything keep touch maria really found safety seeking small town new fierce protector prove dangerous anyone would dare guess rule caring canine let dark
horror,desolate community full drug addled marines rumors kidnapping wild eyed stoner named lou wakes wild night partying symptoms strange illness recurring visions struggles get grip reality stories conspiracy spread
action,lee hyang seeks hire services swordsmen known five devils order remove crown prince crown seize power however hyang realize someone loyal prince within family hopes find way save rightful monarch
action,sarah american sleeper agent sent europe retrieve officially lost cia intel unbeknownst sarah active europe since cold war time sent back hypnosis different identities later recollection current mission one way ticket cia field agent howard stone intends rid cia sleeper agents cases memory starting break national security risk alexander krauss burned cia agent end career assigned bring sarah europe last mission posing fake husband activated sarah becomes deadly killing machine recognize alexander krauss turns rogue realizes set ordered kill desperately tries save invariable death sentence upheld cia
horror,film producer trying sign deal life time demented gimp kills cast crew latest film
horror,evil krupp trying get possession aztec princess xochitl jewels hypnotizes current reincarnation flor get reveal jewels location xochitl tomb confusion reigns krupp thugs opposed flor lover almada assistant wrestling superhero angel krupp finally meets match however comes popoca warrior mummy guards xochitl tomb
horror,low budget first film director jean rollin reality two loosely connected surreally erotic shorts vampirism first three parisians including psychoanalyst try convince four neurotic sisters living decaying country chateau belief year old vampires false alluring young women influenced controlled enigmatic disembodied voice turns aging aristocratic lord manor whose motives unclear clearly perverse local rustics unite hunt kill sanguine siblings second queen vampires acolytes arrive scene resurrect dead promulgate cause undead medical researcher works find antidote vampirism
horror,drug raid narcotics officer confronts strange voodoo priest named death chanting officer priest shoot wind dead later two rise graves return land living zombies death resurrected new mission mind take world zombie cop enlists aid old police buddies stop mad priest
horror,four classmates get together celebrate pregnancy one venue chosen party country house located one hour away city since four saw last time one recently committed betrayal threatens destroy long deep friendship revelation dark secret series violent deaths transform baby shower nightmare disturbing one
action,second sino japanese war chen geng commander brigade part division eighth route army subordinate chen yun long leads regiment fight japanese invaders although rash rough personality yun long possesses brilliant military skills carries war japanese chinese civil war
thriller,stephanie arrives patient private clinic sufferers sexual dysfunction run hildesheimer stephanie fellow patients issues including inhibition neurosis fixation delusions etc stephanie begins tentative affair one patients killer stalks institution
action,pierce crime thriller web series follows journey john pierce rails homicide detective nypd spirals obsessive manhunt avenge friend willing risk marriage career character resorts whatever means necessary order see man responsible suffer name cleared
action,end world war soviets dropped atomic bomb berlin strengthening forming iron curtain soon encompasses world starting small soviets send military advisor europe many third world nations soon invading south america throughout years following end second world war soviets grew stronger sat watched allies neighbors slowly taken next agenda america home brave free place thought could taken easy christoper stone average american happened wrong place wrong time rag tag group resistance fighters defend take back city new york challenge defending freedom
thriller,lawyer befriends client knows married recently widowed teenage sons lawyer dies heart attack within matter days son becomes
thriller,game story con girl bold beautiful smart intelligent enough play game life game gamble sometimes game master planner becomes victim game played game game playing every step game leads mystery every question turns puzzle every efforts get rid game opens door next game every step finish game takes next level game challenge puzzle
thriller,eight patients two staff samrat chakrabarti frank boyd meet luxurious sleep clinic night observation monitoring lives become dangerously entwined secrets revealed lucia ewa cruz becomes center attention life seemingly spins control love black mail murder ensue humor irreverence give way devious self interest
thriller,fun loving teen forced grow fast almost gets killed ends get away driver cadillac carrying gangster dead brother trunk bodies pile around high speed chase teen must decide kill face fear worse death
thriller,david lee shepherd desperately wants work video business luring hookers hotel room videotape strangling police conclude serial killer work thus begins intense manhunt
thriller,death wife psycho husband turns killer machine since husband madly love wife keeps dead body till turns skeleton meanwhile group young boys girls come jungle photo shoot happens last shoot lives
action,capt david ferguson men recruited undertake mission rescue engineer held captive chechnya beginning turn deadly game follow group bigger theater leads massive plot overthrow plans mass globalization unite free secure sovereignty various nations effected plot
action,black white version scott shaw zen film cult film classic samurai johnny frankenstein samurai johnny frankenstein martial art based action adventure draws influences film noir film finds hollywood private investigator sam rockmore scott shaw joing forces cyteck aka hal kenneth kim half man half cyborg mission rid los angeles crime
action,tang apprentice lawyer superhero dream happen witness kidnapping hostage son richest tycoon xiong town xiong offers five million reward son tang meant win things seems lot complicated expected
action,trap trap filmed location texas usa movie exposes life people live hood guns drugs violence alternatives film exposes type things people forced survive ghetto society rejects system made ghetto got got survive every one ghetto choices life crime violence kids feed families depending selling drugs violence source income system designed rich get richer poor poorer ones makes ghetto gets worships praises ones got left behind one cares live dies
action,grows keen sense honor justice looking life around colonialism decides right wrongs sees gathering group seven others like around country begin crusade strike oppressors
action,two ninjas michael sherri two seperate missions always team find ninja attacking sheeri find father murderer michael must protect golden ninja warrior statue ceremony china
horror,decent looking lad called dennis skinner rents apartment couple house kerry geoff night roams streets goodie bag filled knives looking victims skin constantly followed hobbling wobbling junkie heidi mutilated looking revenge dennis attracted kerry wants show real
thriller,max injected green serum turns zombie half human half zombie half dead max teams cody pissed hillbilly fight bad guys want serum back contaminate town water supply turn everyone bloodthirsty drooling zombies
horror,confined cell mental asylum young jessica tale tell doctors listen see jessica comes family bit dysfunctional sexy sisters brenda tawny would frequently tie bedroom safety claimed maybe likely prevent interfering favorite pastime seems two sisters habit seducing hapless males returning secluded backwoods cabin trussed brutally butchered snacked dad house something ghoulish shenanigans right dead stops sisters doting dear old dad least left done unfortunate victims girls tossing chopped remains nearby creek someone else depositing dirty secrets sisters make much discarded container biohazardous waste find toxic sauce unexpected effect body parts bottom creek
horror,drug lord raul castillo awakens middle nowhere soon discovers guinea pig unknown deadly trials modified cell phone connects tormentor must suffer gauntlet penalties fight life
thriller,horror movie chain face clown released one knew film would one day become classic heralded cinematic tour force well least select group horror movie fans film biggest fan year old emily lynessa always knew going meet fall love jonathan blaklee mid star chain face clown emily jonathan perfect soulmate male compares idolized film ever since remember emily collection chain face clown memorabilia would impress even ardent fan one item yet attain real life breathing jonathan blaklee one problem emily knows jonathan interest famous plan simple meet jonathan coming signing dvd release chain face clown seduce lure back home jonathan imprisoned inside home realizes emily one puts plan action emily successfully lures jonathan back pad night debauchery jonathan awakes imprisoned abandoned shed rural farm property jonathan must find way escape forever ultimate addition emily chain face clown memorabilia collection
horror,succeeding throne king kim han jik entrusts children faithful servant lee kang hak suddenly commits suicide newly appointed lord town evil plans kim daughter suk young danger killed kang hak saves lord killing kim children kang hak becomes lord town suk young ghost begins torture kang hak villagers die every day one left kang hak next killed king kim ghost takes ghosts kang hak awakens erects tombstones console ghosts
thriller,advocate gautam mehra lives bombay wife anju daughter rakhsa one day returning court sees woman molested stops phones police tries stop molester vain though gets attacked loses consciousness police arrive arrest molester raghuvir attempts convince gautam change testimony vain gautam goes testify raghuvir singh gets sentenced seven years rigorous prison six years later raghuvir enters lives mehras going disappear vengeance three efforts stop police vain committed crime yet mehras decide locate farm house near lake without notifying anyone located gautam finds raghuvir vengeance someone wants dead
thriller,bhaarat wakes empty world void companion bhaarat reminisces story life living freewheeling life best friend champak bhaarat heir grandson industrialist mrs desai bhaarat meets kisha become first love bhaarat struggles prove love kisha strong faith kingdom stars
horror,malevolent murderous spirit infects souls living hosts claiming new victims like occult virus year ago maya held best friend arms lay dying killed evil entity diabolic visitant die friend lived maya maya accidentally passes entity unsuspecting neighbor single mother leslie two teenage girls amanda sarah almost immediately hair raising paranormal attacks begin first leslie inadvertently passes spirit older daughter amanda discovered speaking ghost sleep horror escalates youngest daughter sarah gets infected susceptible actually becomes active host evil sarah even driven kill leslie amanda help maya lee another former host insidious phantom fight save sarah late band together prepare unprecedented metaphysical battle discover origin entity terrifying thing
horror,miner cabin new thriller horror inspired true events coal miners trapped mines died movie five friends tour coal mine rented cabin home coal miner tour group decided slide valuables mine trench returning cabin friends become increasingly disturbed noises presence demons witnessing gruesome demons possession friend friends haunted catastrophic sequence events
action,harry moir rossi like three musketeers orphanage adults partnership continues pull occasional heist together
action,following events hammer mara mara continues using mjolnir help protect world mara becomes confident loses ability lift hammer giving mephisto opportunity continue attack earth trevor able fight mephisto wrath mara must return protect world
thriller,height cold war united states india conspire spy china nuclear detonations installing listening device feet mountain nanda devi india nuclear powered device disappears ice threatening existence country india
action,assassin gage would target chapel form unlikely alliance corrupt corporation named first hand international fhi law beyond political scrutiny gage chapel exploits take deep city underground become victims one question remains kill first
action,civil unrest throws small city chaos best best called contain problem team rely police dispatcher visual cues guide dangerous maze city industrial settings mission keep things contained reduce number casualties enter residential areas progress game access powerful gear gain assistance team use enemy weapons
thriller,august black ops research program led general roberts perfected device control weather launched specially outfitted plane tested first time control machine lost within hours deadly hurricane formed became greatest natural disaster since san francisco earthquake hurricane andrew wake catastrophe evidence program buried seven years later general roberts revived top secret project recruits ambitious meteorologist ron young developed software directs weather systems storm device equipped software launched weather front miles california coast moments device whipped storm full blown hurricane roberts orders targeted mexico storm grown power super hurricane wind speeds exceeding miles per hour struggle board plane ensues causing deadly hurricane head straight los angeles young goes another less hours fly directly eye super hurricane regain control storm device however saboteurs board battle feet pacific ocean taking place city los angeles awaits coming siege
thriller,orphan guy goes maintenance work apartment get acquinted married lady relationship build lady husband lawyer gang member finds relationship story goes twist turns
horror,ancient urn found cemetery outside rome opened triggers series violent incidents robberies rapes murders increase dramatically several mysterious evil looking young women coming world gathering city events caused return mater lacrimarum last three powerful witches spreading terror death centuries alone army psychos demons sarah mandy art student seems supernatural abilities person left prevent mother tears destroying rome final installment three mothers trilogy young american art student sarah unwittingly opens ancient urn unleashes demonic power world powerful witch scourge suicides plague city witches world converge rome pay homage sarah must use psychic powers stop mother tears evil conquers world excavating outside cemetery countryside workers accidentally find coffin noble oscar vall chained small urn buried since monsignor brusca orders rebury coffin inside cemetery sends sealed urn director museum ancient art rome michael pierce expert mysticism occult science confirm fears however michael assistant giselle mares decides open urn student art restoration archeology michael lover sarah mandy opening hurts finger drops blood magic red tunic resurrecting evil witch mater lachrymarum immediately spreads wave violence death destruction rome attracts witches everywhere visiting padre johannes seeking answers sarah meets marta calussi tells mater lachrymarum trying bring second age witches falling rome chaos human despair sarah mother powerful white witch dared fight evil black witch sarah inherited abilities last hope stop evil witch
thriller,walker family awaken room unsure got soon becomes apparent chosen reason member harbouring secret someone decided time come clean time progresses walkers exposed one one forcing place relationships microscope confront darkest demons trying solve mystery room person behind
action,incident flying cow earthworm jim finds coma awake hero lies unconscious sub conscious forms worst fears begin take four mind chambers last defense super ego unleashed recover missing marbles bash brain invading baddies restore udders lucidity mind lost forever
horror,monster slaying hero daisy derkins ventures woods deal carnivorous dinosaur runs afoul touring punk band manic bounty hunter trio voluptuous female criminals family mutant cannibals along way
thriller,victor successful businessman deal depression wife maria cold relationship daughter loves protects man invades family life seems hidden secret wife victor begins dark path ready face consequences long threat finishes
